tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,fare_amount
2022-03-01 02:07:04,2022-03-01 02:17:06,159,159,1.2,7.5
2022-03-01 02:24:39,2022-03-01 02:34:21,159,212,2.3,9.5
2022-03-01 05:52:39,2022-03-01 06:08:33,167,78,1.7,18.2
2022-03-01 05:51:58,2022-03-01 06:05:39,174,254,0.7,16.2
2022-03-01 05:20:31,2022-03-01 05:43:37,69,254,6.2,28.2
2022-03-01 05:59:29,2022-03-01 06:39:28,51,69,8.0,38.2
2022-03-01 06:30:29,2022-03-01 06:57:49,119,213,4.8,26.2
2022-03-01 06:14:54,2022-03-01 06:20:55,78,78,0.3,15.2
2022-03-01 06:32:07,2022-03-01 07:41:53,51,94,4.8,26.2
2022-03-01 07:26:50,2022-03-01 07:51:35,119,254,7.6,30.2
2022-03-01 07:19:57,2022-03-01 07:36:52,18,136,1.5,17.2
2022-03-01 07:31:45,2022-03-01 07:40:21,159,159,0.6,16.2
2022-03-01 07:55:30,2022-03-01 08:20:01,78,242,3.2,21.2
2022-03-01 08:59:21,2022-03-01 09:09:37,259,235,4.05,13.5
2022-03-01 08:27:32,2022-03-01 08:44:01,18,185,3.0,20.2
2022-03-01 08:19:24,2022-03-01 08:36:15,182,185,1.0,15.2
2022-03-01 08:53:22,2022-03-01 09:27:57,136,242,3.5,21.2
2022-03-01 08:01:23,2022-03-01 08:05:19,208,208,0.49,4.5
2022-03-01 08:21:37,2022-03-01 08:58:16,247,242,8.5,39.2
2022-03-01 09:34:42,2022-03-01 10:20:05,69,174,6.3,31.2
2022-03-01 09:22:53,2022-03-01 09:40:47,213,242,1.6,19.2
2022-03-01 09:18:01,2022-03-01 09:48:14,208,242,0.6,16.2
2022-03-01 10:34:01,2022-03-01 10:55:21,242,119,4.8,29.2
2022-03-01 10:41:26,2022-03-01 10:58:29,242,213,2.2,22.2
2022-03-01 10:10:23,2022-03-01 10:53:52,51,254,2.5,19.2
2022-03-01 10:30:33,2022-03-01 11:06:38,242,159,6.2,28.2
2022-03-01 10:02:58,2022-03-01 10:43:29,32,242,3.5,21.2
2022-03-01 10:33:31,2022-03-01 10:47:44,32,242,3.1,22.2
2022-03-01 10:49:21,2022-03-01 11:12:15,242,213,3.7,22.2
2022-03-01 10:12:44,2022-03-01 10:40:29,136,182,3.3,23.2
2022-03-01 10:51:41,2022-03-01 11:00:04,242,60,1.5,18.2
